parameter,value,distribute
k1_p50p50binding-NFkB,0.0018,0
k1_p50np50nbinding-NFkB,0.0018,0
k1_p52p52binding-NFkB,0.0018,0
k1_p52np52nbinding-NFkB,0.0018,0
k1_cRelp100binding-NFkB,0.00096,0
k1_cRelnp100nbinding-NFkB,0.00096,0
k1_RelAp50unbinding-NFkB,0.019,0
k1_RelAnp50nunbinding-NFkB,0.0019,0
k1_RelAp52unbinding-NFkB,0.948,0
k1_RelAnp52nunbinding-NFkB,0.0019,0
k1_RelBp52unbinding-NFkB,0.0144,0
k1_RelBnp52nunbinding-NFkB,0.00144,0
k1_RelBp50unbinding-NFkB,0.0046,0
k1_RelBnp50nunbinding-NFkB,0.00046,0
k1_cRelp50unbinding-NFkB,0.0014,0
k1_cRelnp50nunbinding-NFkB,0.00014,0
k1_cRelp52unbinding-NFkB,0.0014,0
k1_cRelnp52nunbinding-NFkB,0.00014,0
k1_p50p50unbinding-NFkB,0.054,0
k1_p50np50nunbinding-NFkB,0.054,0
k1_p52p52unbinding-NFkB,0.054,0
k1_p52np52nunbinding-NFkB,0.054,0
k1_cRelp100unbinding-NFkB,0.0014,0
k1_cRelnp100nunbinding-NFkB,0.00014,0
k1_NFkBImport-NFkB,5.4,0
k1_RelBP52Import-NFkB,5.4,0
k1_NFkBExport-NFkB,0.0048,0
k1_freeNFkBDeg-NFkB,0.00024,0
k1_IkBaRelA50Ass-NFkB,0.003,0
k1_IkBbRelA50Ass-NFkB,0.000213,0
k1_IkBeRelA50Ass-NFkB,0.0013,0
k1_IkBdRelA50Ass-NFkB,0.0006,0
k1_IkBaRelB50Ass-NFkB,0.003,0
k1_IkBbRelB50Ass-NFkB,0,0
k1_IkBeRelB50Ass-NFkB,0.0013,0
k1_IkBdRelB50Ass-NFkB,6.00E-05,0
k1_IkBaRelB52Ass-NFkB,0,0
k1_IkBbRelB52Ass-NFkB,0,0
k1_IkBeRelB52Ass-NFkB,0,0
k1_IkBdRelB52Ass-NFkB,0.0006,0
k1_IkBacRel100Ass-NFkB,0,0
k1_IkBbcRel100Ass-NFkB,0,0
k1_IkBecRel100Ass-NFkB,0,0
k1_IkBdcRel100Ass-NFkB,0,0
k1_IkBacRel50Ass-NFkB,0.003,0
k1_IkBbcRel50Ass-NFkB,0.000213,0
k1_IkBecRel50Ass-NFkB,0.0013,0
k1_IkBdcRel50Ass-NFkB,0.0006,0
k1_IkBacRel52Ass-NFkB,0.003,0
k1_IkBbcRel52Ass-NFkB,0.000213,0
k1_IkBecRel52Ass-NFkB,0.0013,0
k1_IkBdcRel52Ass-NFkB,0.0198,0
k1_IkBaRelA52Ass-NFkB,0.003,0
k1_IkBbRelA52Ass-NFkB,0.000213,0
k1_IkBeRelA52Ass-NFkB,0.0013,0
k1_IkBdRelA52Ass-NFkB,0.0006,0
k1_IkBaRelA50Diss-NFkB,0.0006,0
k1_IkBbRelA50Diss-NFkB,0.0169,0
k1_IkBeRelA50Diss-NFkB,0.006,0
k1_IkBdRelA50Diss-NFkB,0.00084,0
k1_IkBaRelB50Diss-NFkB,0.0006,0
k1_IkBbRelB50Diss-NFkB,0,0
k1_IkBeRelB50Diss-NFkB,0.006,0
k1_IkBdRelB50Diss-NFkB,0.00084,0
k1_IkBaRelB52Diss-NFkB,0,0
k1_IkBbRelB52Diss-NFkB,0,0
k1_IkBeRelB52Diss-NFkB,0,0
k1_IkBdRelB52Diss-NFkB,0.00084,0
k1_IkBacRel100Diss-NFkB,0,0
k1_IkBbcRel100Diss-NFkB,0,0
k1_IkBecRel100Diss-NFkB,0,0
k1_IkBdcRel100Diss-NFkB,0,0
k1_IkBacRel50Diss-NFkB,0.0048,0
